run,string1,string2,string3,string4,p_initial_residual,label
run_00047,((I2 + (((I2 * I2) + I2) + I1)) - (I1 * ((I1 * I2) * (0.089 - 2.0)))),(((0.205 + -0.15) + (((1.0 - I2) + (1.0 - 1.0)) + (0.097 + 0.097))) - ((0.205 * -0.15) * 2.0)),(((-0.15 - (0.097 - (0.089 + -0.15))) * I2) * ((((2.0 * 1.0) * I1) * I2) * ((I1 - 0.089) * 0.205))),((0.089 - 0.205) + ((0.205 - ((0.430 + 1.0) + (-1.0 + -0.15))) * I1)),9.39E-08,0
run_00048,((0.089 + (((2.0 + 0.205) - (2.0 * 2.0)) * 1.0)) + (I1 * I1)),((I1 + (0.205 - (I2 + I2))) + (((I2 + (0.430 + I2)) + (-0.15 * 0.430)) * (I1 * I1))),((0.089 + -0.15) - ((((0.205 * 0.430) + I1) - I1) - I2)),((0.430 - 2.0) + (I2 * 0.430)),8.27E-13,0
run_00049,((0.097 - I1) * (((I1 * I1) * (0.430 - 2.0)) - I1)),(((((2.0 + 0.089) * (-1.0 - 0.205)) + I2) - I2) + (I2 + (-0.15 - I2))),(((0.205 - ((-0.15 - -1.0) - (-1.0 * I1))) + 0.205) + ((0.430 * 0.097) * -0.15)),((-1.0 - I2) - ((((-1.0 + -1.0) * (-1.0 - -1.0)) - -1.0) - (0.205 + (I2 * 0.089)))),1.99E-07,0
run_00050,((((2.0 + I2) * I2) + (-1.0 * I1)) * (((I1 + (0.089 - 0.097)) + I2) * (I1 - 1.0))),((((-0.15 + I1) + 0.430) - ((I1 + (0.089 + 2.0)) + (1.0 - -0.15))) - ((0.205 * I2) * (((I2 + 0.097) - -1.0) - I1))),(((0.097 * I1) * I2) - ((I2 - I1) + 0.430)),((I2 * I2) + (1.0 - (I2 + (1.0 + (I1 * 0.097))))),0.00241663,0
run_00051,((I1 - (2.0 + ((I1 * 1.0) - (0.430 - 1.0)))) * (0.205 * 0.089)),((I2 * I2) + ((((0.097 - 0.097) * -0.15) - (I1 - 1.0)) * I2)),((I1 * ((I2 * I1) - (0.430 + I2))) * ((1.0 * 0.430) - I1)),((I1 + (I1 - 0.097)) - (I1 - (1.0 + (I1 * (-0.15 - 2.0))))),2.05E-09,0
run_00052,(((0.430 * (0.205 + 0.430)) * 1.0) * (I1 - I1)),(((I2 * I2) - 2.0) - ((0.205 + ((2.0 + -0.15) - (1.0 - -1.0))) * (((-1.0 + 0.089) - (0.097 - 1.0)) + 0.430))),(((((-1.0 - I1) - (I1 * 1.0)) * (I2 - 2.0)) * (I1 + I2)) * (I1 * I2)),((I2 + I2) + (1.0 * I1)),6.83E-08,0
run_00053,((I1 - I1) + ((0.089 + ((0.205 + 0.097) + I2)) * (I1 - (0.089 - 0.205)))),(((((I1 + 0.089) * (0.089 + 1.0)) - (0.430 + 0.089)) * 0.205) - (1.0 * I1)),(((I2 * 2.0) * I1) - ((I1 - ((-0.15 * -1.0) - I2)) + (((-0.15 - -1.0) - (-0.15 + I1)) * I2))),((0.097 + -1.0) - (1.0 * (((1.0 * I1) * I1) + (2.0 + 0.097)))),0.0003462,0
run_00054,((I1 * -0.15) - ((I1 * I1) * ((I1 + (-0.15 * -1.0)) * 0.089))),((0.205 - -1.0) + (I2 * I1)),(((I2 + (0.097 + 2.0)) - (I1 - I2)) + ((((I2 + 0.097) - (0.089 + I2)) * 0.205) * ((1.0 * (2.0 - -1.0)) * I1))),((I1 - (I1 + I2)) * (I1 * 0.430)),1.24E-08,0
run_00055,((I1 - I1) + ((0.097 + I2) + (I2 - 0.205))),((((I1 + (-1.0 + 2.0)) - I2) + -1.0) * (I1 - I2)),((-1.0 + (((-0.15 * 1.0) - I2) + (I2 + 0.089))) + (0.430 - I1)),((I2 * I2) - ((0.089 * ((-1.0 * 1.0) - I2)) * 1.0)),5.67E-11,0
run_00056,((((1.0 * I2) + (I1 + I1)) * (I1 + -0.15)) + (((0.089 * (2.0 * 0.430)) + (0.205 - 0.205)) + ((I1 - (1.0 * 0.089)) + (0.430 - 2.0)))),((((0.430 - 1.0) * 2.0) - 1.0) - (I1 + (0.205 + (I2 * -1.0)))),((0.097 - I1) - ((0.097 - I2) - ((I1 - 2.0) * (-0.15 - -1.0)))),((I1 - -0.15) - (0.097 + 0.089)),7.82E-13,0
run_00057,(((I2 + -1.0) + (I1 * I1)) + (I1 - (I1 - I1))),(((I1 - ((1.0 * 0.430) - (I1 * 0.097))) + (((0.205 + 0.097) - (0.089 + -0.15)) * I1)) + (0.089 * 0.430)),((0.205 * I2) * ((((0.430 - 2.0) + (1.0 - 1.0)) + (1.0 + -1.0)) + I2)),((I1 - I1) - (2.0 + (I1 + (I1 * I1)))),8.46E-11,0
run_00058,((-0.15 + ((I2 + (0.097 - I1)) - 0.097)) * (-1.0 + I2)),((I1 * I1) + (I2 + I1)),((I1 * (((-1.0 + -0.15) * (I2 - 0.430)) + 0.097)) * (0.097 * (0.097 * I2))),((((0.205 * I1) - (0.430 * I1)) + I1) * (I1 - I1)),2.11E-08,0
run_00059,(((((0.430 * I1) + I2) - (2.0 * 0.205)) - ((1.0 - (-1.0 - 2.0)) + 0.430)) + ((I1 * (1.0 - 0.430)) + I2)),(((I1 * ((I1 + 0.089) - I1)) - ((2.0 * I2) - -0.15)) - (I2 * I2)),(((I2 * I2) - I2) + ((0.205 - (-1.0 - (1.0 - -0.15))) - (((0.097 + I2) - I2) + I1))),((I2 + (I1 + ((1.0 + I1) * (0.430 * -1.0)))) - ((I1 - (0.430 * (0.430 * -1.0))) * (((-0.15 + 0.089) * (1.0 + 0.089)) + -0.15))),0.296246,1
run_00060,(((((0.430 - 0.430) - (I1 + 0.089)) - 1.0) + I2) + ((((1.0 * 0.089) + (0.089 * 0.089)) + I1) * 0.205)),(((((I2 + 2.0) * (I2 - -0.15)) - I2) + 0.097) * (2.0 * (((I1 + 1.0) * (I1 + I2)) + 0.205))),((I1 * (0.430 - ((0.205 + 0.205) * I2))) + (2.0 - (I1 * ((-0.15 + I2) - I1)))),((0.089 * (I1 * -0.15)) * (((I2 * -1.0) + (-0.15 * -1.0)) + (((0.089 * 0.089) - (2.0 - 0.205)) + 2.0))),1.24E-11,0
